time,pressure,mcp_start_u1,mcp_start_u2,mcp_u1,mcp_u2,mcp_end_u1,mcp_end_u2,pip_start_u1,pip_start_u2,pip_u1,pip_u2,pip_end_u1,pip_end_u2,dip_start_u1,dip_start_u2,dip_u1,dip_u2,dip_end_u1,dip_end_u2,tip_u1,tip_u2
0.79,0.237,0,0,1.74276,-2.05432,2.83965,-9.27327,-1.29035,-20.9373,-3.01387,-30.7795,-9.10433,-43.3847,-22.1094,-56.783,-32.3135,-67.5511,-46.7332,-76.5637,-74.0474,-86.2432
0.8,0.24,0,0,1.76935,-2.1016,2.84215,-9.44692,-1.40029,-21.2529,-3.2159,-31.2073,-9.48634,-43.899,-22.7211,-57.3034,-33.1379,-68.0562,-47.7895,-76.9375,-75.3532,-86.3008
0.81,0.243,0,0,1.81492,-2.19404,2.83264,-9.76971,-1.61739,-21.837,-3.61053,-31.9787,-10.1827,-44.7931,-23.7789,-58.2007,-34.5155,-68.9082,-49.4844,-77.5829,-77.3798,-86.4979
0.82,0.246,0,0,1.87707,-2.32849,2.80661,-10.2294,-1.94425,-22.6626,-4.19834,-33.0563,-11.1878,-46.0184,-25.2666,-59.4158,-36.4202,-70.0409,-51.7783,-78.4302,-80.0668,-86.7661
0.83,0.249,0,0,1.94991,-2.49493,2.76076,-10.7889,-2.36576,-23.6561,-4.9463,-34.3396,-12.436,-47.4536,-27.0773,-60.8175,-38.7095,-71.3223,-54.4939,-79.3615,-83.1953,-87.0207
0.84,0.252,0,0,2.02499,-2.67326,2.69705,-11.3818,-2.83875,-24.694,-5.77626,-35.673,-13.8011,-48.924,-29.03,-62.2277,-41.1582,-72.5817,-57.369,-80.2316,-86.4623,-87.1652
0.85,0.255,0,0,2.09429,-2.84291,2.62667,-11.9451,-3.31786,-25.6751,-6.60801,-36.9257,-15.1544,-50.2906,-30.9522,-63.5108,-43.557,-73.6972,-60.1646,-80.9462,-89.6027,-87.151
0.86,0.258,0,0,2.15101,-2.98522,2.55911,-12.4158,-3.73427,-26.4821,-7.32683,-37.955,-16.3216,-51.4033,-32.6007,-64.5328,-45.6117,-74.5607,-62.5526,-81.4454,-92.261,-86.9973
0.87,0.261,0,0,2.19194,-3.0871,2.50847,-12.7531,-4.04065,-27.0538,-7.85226,-38.6846,-17.1796,-52.1897,-33.8166,-65.2392,-47.1346,-75.1415,-64.3301,-81.7346,-94.2307,-86.7614
0.88,0.264,0,0,2.21615,-3.14087,2.48431,-12.9381,-4.20857,-27.3642,-8.14236,-39.0903,-17.677,-52.6346,-34.5431,-65.6264,-48.0687,-75.4478,-65.4466,-81.8326,-95.4749,-86.4722
0.89,0.267,0,0,2.22602,-3.15331,2.48554,-12.9927,-4.2525,-27.4534,-8.22238,-39.2219,-17.8527,-52.7947,-34.8354,-65.7542,-48.4817,-75.5392,-65.9818,-81.7947,-96.0892,-86.1747
0.9,0.27,0,0,2.22794,-3.14242,2.50151,-12.9725,-4.22316,-27.4148,-8.17703,-39.1937,-17.8335,-52.7887,-34.862,-65.7336,-48.5739,-75.5117,-66.1588,-81.69,-96.3166,-85.894
0.91,0.273,0,0,2.22793,-3.1254,2.52127,-12.9342,-4.17713,-27.3465,-8.10428,-39.1302,-17.7749,-52.7469,-34.838,-65.6799,-48.6074,-75.4557,-66.2717,-81.5638,-96.4747,-85.6031
0.92,0.276,0,0,2.23412,-3.12698,2.52928,-12.9543,-4.18718,-27.3767,-8.12671,-39.1885,-17.8627,-52.8306,-35.0108,-65.7381,-48.877,-75.4885,-66.6447,-81.486,-96.9066,-85.2999
0.93,0.279,0,0,2.25355,-3.16837,2.51168,-13.0978,-4.31542,-27.6132,-8.34793,-39.4989,-18.2493,-53.1703,-35.578,-66.0244,-49.6131,-75.7038,-67.5262,-81.5156,-97.8698,-84.9929
0.94,0.282,0,0,2.28867,-3.258,2.46074,-13.3915,-4.59359,-28.1001,-8.82195,-40.1161,-19.0189,-53.819,-36.6525,-66.5788,-50.9509,-76.1231,-69.062,-81.6452,-99.5101,-84.6339
0.95,0.285,0,0,2.33879,-3.39706,2.37074,-13.8369,-5.03401,-28.8351,-9.56661,-41.0341,-20.1936,-54.7627,-38.2566,-67.3769,-52.9115,-76.7126,-71.2656,-81.8321,-101.827,-84.173
0.96,0.288,0,0,2.39976,-3.57827,2.2403,-14.4065,-5.6219,-29.7641,-10.5506,-42.1787,-21.7124,-55.9147,-40.295,-68.3312,-55.3693,-77.3911,-73.9862,-82.0158,-104.646,-83.5874
0.97,0.291,0,0,2.46445,-3.78108,2.07933,-15.0355,-6.30271,-30.7761,-11.6808,-43.4136,-23.4333,-57.1312,-42.5767,-69.3061,-58.0957,-78.0404,-76.9689,-82.1113,-107.691,-82.8457
0.98,0.294,0,0,2.52444,-3.9791,1.9081,-15.645,-6.99459,-31.7434,-12.8222,-44.5842,-25.1569,-58.2601,-44.8429,-70.1715,-60.787,-78.5627,-79.8859,-82.0715,-110.625,-81.9743
0.99,0.297,0,0,2.57525,-4.15184,1.74842,-16.1724,-7.61588,-32.5668,-13.8407,-45.5737,-26.6863,-59.1944,-46.8396,-70.8535,-63.1491,-78.9259,-82.428,-81.922,-113.143,-81.078
1,0.3,0,0,2.61264,-4.28052,1.62475,-16.5647,-8.08967,-33.1702,-14.6145,-46.2965,-27.8506,-59.8666,-48.3574,-71.3177,-64.947,-79.134,-84.358,-81.7147,-115.027,-80.2689
